2026-02-21 22:47:01 | INFO | underwater_sensor_ga.ga | Generation 175/500 | best_global_cost=4.474 | generation_best=4.777
2026-02-21 22:47:03 | INFO | underwater_sensor_ga.ga | Generation 176/500 | best_global_cost=4.474 | generation_best=4.861
2026-02-21 22:47:06 | INFO | underwater_sensor_ga.ga | Generation 177/500 | best_global_cost=4.474 | generation_best=4.721
2026-02-21 22:47:08 | INFO | underwater_sensor_ga.ga | Generation 178/500 | best_global_cost=4.474 | generation_best=4.902
2026-02-21 22:47:10 | INFO | underwater_sensor_ga.ga | Generation 179/500 | best_global_cost=4.474 | generation_best=4.940
2026-02-21 22:47:13 | INFO | underwater_sensor_ga.ga | Generation 180/500 | best_global_cost=4.474 | generation_best=5.142
2026-02-21 22:47:15 | INFO | underwater_sensor_ga.ga | Generation 181/500 | best_global_cost=4.474 | generation_best=4.701
2026-02-21 22:47:17 | INFO | underwater_sensor_ga.ga | Generation 182/500 | best_global_cost=4.474 | generation_best=4.934
2026-02-21 22:47:19 | INFO | underwater_sensor_ga.ga | Generation 183/500 | best_global_cost=4.474 | generation_best=4.904
2026-02-21 22:47:21 | INFO | underwater_sensor_ga.ga | Generation 184/500 | best_global_cost=4.474 | generation_best=4.805
2026-02-21 22:47:24 | INFO | underwater_sensor_ga.ga | Generation 185/500 | best_global_cost=4.474 | generation_best=4.820
2026-02-21 22:47:26 | INFO | underwater_sensor_ga.ga | Generation 186/500 | best_global_cost=4.474 | generation_best=4.541
2026-02-21 22:47:28 | INFO | underwater_sensor_ga.ga | Generation 187/500 | best_global_cost=4.474 | generation_best=4.966
2026-02-21 22:47:31 | INFO | underwater_sensor_ga.ga | Generation 188/500 | best_global_cost=4.474 | generation_best=4.664
2026-02-21 22:47:33 | INFO | underwater_sensor_ga.ga | Generation 189/500 | best_global_cost=4.456 | generation_best=4.456
2026-02-21 22:47:35 | INFO | underwater_sensor_ga.ga | Generation 190/500 | best_global_cost=4.456 | generation_best=4.918
2026-02-21 22:47:37 | INFO | underwater_sensor_ga.ga | Generation 191/500 | best_global_cost=4.456 | generation_best=4.901
2026-02-21 22:47:39 | INFO | underwater_sensor_ga.ga | Generation 192/500 | best_global_cost=4.456 | generation_best=4.647
2026-02-21 22:47:42 | INFO | underwater_sensor_ga.ga | Generation 193/500 | best_global_cost=4.456 | generation_best=4.877
2026-02-21 22:47:44 | INFO | underwater_sensor_ga.ga | Generation 194/500 | best_global_cost=4.456 | generation_best=4.687
2026-02-21 22:47:46 | INFO | underwater_sensor_ga.ga | Generation 195/500 | best_global_cost=4.456 | generation_best=4.901
2026-02-21 22:47:48 | INFO | underwater_sensor_ga.ga | Generation 196/500 | best_global_cost=4.456 | generation_best=4.861
2026-02-21 22:47:51 | INFO | underwater_sensor_ga.ga | Generation 197/500 | best_global_cost=4.456 | generation_best=4.858
