generation,label,total_cost,mean_error_m,no_coverage_rate,localizable_impacts,num_impacts
136,GA_best_gen,4.895244824168171,4.554435459468659,0.0,30,30
136,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
137,GA_best_gen,5.062372512993126,4.661572009912439,0.0,30,30
137,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
138,GA_best_gen,4.966386500134561,4.613013475195379,0.0,30,30
138,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
139,GA_best_gen,4.944189375353323,4.605147677447433,0.0,30,30
139,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
140,GA_best_gen,5.009122646963774,4.658021495863474,0.0,30,30
140,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
141,GA_best_gen,5.066362445767368,4.696152013770349,0.0,30,30
141,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
142,GA_best_gen,5.0013955835629815,4.653258117691752,0.0,30,30
142,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
143,GA_best_gen,4.954710007292682,4.610774650871293,0.0,30,30
143,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
144,GA_best_gen,4.994766504099967,4.644026588624447,0.0,30,30
144,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
145,GA_best_gen,4.8898584634105084,4.5602276913806,0.0,30,30
145,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
146,GA_best_gen,4.635778849188709,4.356244328429463,0.0,30,30
146,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
147,GA_best_gen,4.821090666282098,4.505438627840771,0.0,30,30
147,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
148,GA_best_gen,4.590034486936002,4.331826985580417,0.0,30,30
148,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
149,GA_best_gen,4.8248805562555015,4.5169536625038225,0.0,30,30
149,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
150,GA_best_gen,4.8551991067310745,4.540104117193079,0.0,30,30
150,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
151,GA_best_gen,4.50584924182199,4.299264815961238,0.0,30,30
151,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
152,GA_best_gen,4.968441205409905,4.617332651820225,0.0,30,30
152,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
153,GA_best_gen,5.0293723506950965,4.65203062916342,0.0,30,30
153,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
154,GA_best_gen,4.8909812840507705,4.586265266067789,0.0,30,30
154,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
155,GA_best_gen,4.945545627310184,4.599141914770155,0.0,30,30
155,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
156,GA_best_gen,4.875176053629029,4.551928063070038,0.0,30,30
156,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
157,GA_best_gen,4.806351797547192,4.504149570422674,0.0,30,30
157,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
158,GA_best_gen,4.5577337243863765,4.305040176267061,0.0,30,30
158,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
159,GA_best_gen,5.1191649279765645,4.725794346177315,0.0,30,30
159,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
160,GA_best_gen,5.038837206762142,4.6677290181843025,0.0,30,30
160,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
161,GA_best_gen,5.107053468290379,4.756602457137916,0.0,30,30
161,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
162,GA_best_gen,4.644237923931367,4.356265517640618,0.0,30,30
162,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
163,GA_best_gen,4.949160188417337,4.628034287191056,0.0,30,30
163,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
164,GA_best_gen,5.043628506627452,4.687388004190466,0.0,30,30
164,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
165,GA_best_gen,5.068261320600453,4.7002853825659905,0.0,30,30
165,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
166,GA_best_gen,4.985104285424415,4.633404402738816,0.0,30,30
166,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
167,GA_best_gen,4.954067704294437,4.611562019805821,0.0,30,30
167,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
168,GA_best_gen,4.603237983887699,4.377693521393553,0.0,30,30
168,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
169,GA_best_gen,4.974426964503086,4.629616228443536,0.0,30,30
169,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
170,GA_best_gen,4.795601310343742,4.50137925938885,0.0,30,30
170,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
171,GA_best_gen,4.9386532420769,4.568005219787748,0.0,30,30
171,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
172,GA_best_gen,5.038780604069764,4.6746735761713625,0.0,30,30
172,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
173,GA_best_gen,5.250847174473383,4.845625288243339,0.0,30,30
173,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
174,GA_best_gen,4.862320065761084,4.558390644266151,0.0,30,30
174,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
175,GA_best_gen,4.79049254508941,4.523958640786062,0.0,30,30
175,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
176,GA_best_gen,4.806351797547192,4.504149570422674,0.0,30,30
176,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
177,GA_best_gen,4.589748281107115,4.3654628494071215,0.0,30,30
177,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
178,GA_best_gen,4.8493844445013226,4.545996169297454,0.0,30,30
